market,tdx_prefix,stock_code,trade_date,open,high,low,close,amount,volume,source_file
sh,sh,000905.SH,2014-02-19,4206.02,4232.88,4180.91,4207.99,63154499584.0,612177.61,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-20,4211.7,4221.63,4139.2,4149.07,62300131328.0,625644.78,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-21,4142.3,4156.79,4085.82,4121.92,47228928000.0,480178.83,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-24,4102.56,4105.79,4043.51,4105.79,52821389312.0,512387.33,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-25,4109.49,4141.26,3937.17,3961.44,70061219840.0,656652.71,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-26,3941.12,3988.06,3883.96,3987.48,49764847616.0,488567.36,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-27,3992.72,4053.85,3932.31,3934.73,57316270080.0,545109.23,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-28,3926.77,3976.13,3874.72,3975.93,48254509056.0,466011.99,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-03,3975.54,4059.19,3969.3,4058.8,53495701504.0,512902.57,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-04,4045.2,4067.43,4016.03,4059.57,54602428416.0,536556.09,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-05,4064.96,4075.75,4031.92,4037.78,51928399872.0,531436.31,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-06,4030.65,4042.21,3980.28,4032.76,46614618112.0,481899.03,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-07,4032.14,4051.03,3992.94,4012.45,45596344320.0,456863.2,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-10,3981.51,3981.51,3856.1,3860.24,47348547584.0,496655.54,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-11,3848.17,3889.24,3826.93,3864.26,37450244096.0,399396.78,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-12,3857.58,3894.06,3803.73,3865.66,36976697344.0,412211.6,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-13,3865.92,3907.85,3861.71,3907.15,34137589760.0,370646.58,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-14,3891.2,3913.5,3860.32,3888.98,33406191616.0,351408.33,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-17,3889.9,3967.85,3889.9,3967.15,38774435840.0,392881.71,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-18,3970.66,4009.35,3968.89,3989.2,44080431104.0,442708.42,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-19,3979.25,3980.74,3944.09,3980.67,39248887808.0,426689.58,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-20,3973.15,4000.37,3876.43,3876.58,44829609984.0,498630.56,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-21,3857.82,3954.26,3828.92,3952.39,45269602304.0,523627.21,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-24,3954.05,3995.87,3944.69,3985.86,45816782848.0,542029.78,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-25,3977.88,4007.94,3967.62,3991.14,45244076032.0,536670.26,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-26,3997.17,4009.88,3987.19,4001.5,39747129344.0,462775.02,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-27,3994.82,3996.25,3943.79,3944.04,41581285376.0,494598.72,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-28,3935.2,3951.73,3855.48,3865.29,43844890624.0,534582.65,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-03-31,3865.0,3878.0,3815.74,3840.54,31097096192.0,383377.78,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-01,3836.5,3899.66,3835.23,3899.49,29332506624.0,346552.2,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-02,3901.19,3922.08,3891.55,3902.04,34207477760.0,439819.43,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-03,3902.07,3919.17,3880.4,3896.28,33958647808.0,423427.12,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-04,3888.73,3939.61,3881.96,3939.23,32452790272.0,382032.18,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-04-08,3927.51,3981.63,3918.98,3981.63,37712924672.0,426182.08,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
