source_api,metric_id,metric_name,pub_date,available_date,value,expected_value,previous_value
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1991-03-01,2026-03-02,9.2,0.0,23.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1991-04-01,2026-03-02,14.1,0.0,24.9
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1991-04-01,2026-03-02,10.9,0.0,9.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1991-05-01,2026-03-02,10.1,0.0,14.1
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1991-05-01,2026-03-02,10.9,0.0,10.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1991-06-01,2026-03-02,18.9,0.0,10.1
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1991-06-01,2026-03-02,10.9,0.0,10.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1991-07-01,2026-03-02,15.7,0.0,18.9
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1991-07-01,2026-03-02,9.2,0.0,10.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1991-08-01,2026-03-02,24.6,0.0,15.7
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1991-08-01,2026-03-02,10.9,0.0,9.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1991-09-01,2026-03-02,17.6,0.0,24.6
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1991-09-01,2026-03-02,11.8,0.0,10.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1991-10-01,2026-03-02,22.2,0.0,17.6
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1991-10-01,2026-03-02,12.6,0.0,11.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1991-11-01,2026-03-02,6.6,0.0,22.2
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1991-11-01,2026-03-02,11.8,0.0,12.6
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1991-12-01,2026-03-02,20.0,0.0,6.6
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1991-12-01,2026-03-02,7.6,0.0,11.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1992-01-01,2026-03-02,16.6,0.0,20.0
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1992-01-01,2026-03-02,5.0,0.0,7.6
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1992-02-01,2026-03-02,-0.3,0.0,16.6
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1992-02-01,2026-03-02,10.9,0.0,5.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1992-03-01,2026-03-02,22.4,0.0,-0.3
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1992-03-01,2026-03-02,18.5,0.0,10.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1992-04-01,2026-03-02,12.0,0.0,22.4
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1992-04-01,2026-03-02,16.8,0.0,18.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1992-05-01,2026-03-02,20.4,0.0,12.0
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1992-05-01,2026-03-02,15.1,0.0,16.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1992-06-01,2026-03-02,13.0,0.0,20.4
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1992-06-01,2026-03-02,14.3,0.0,15.1
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1992-07-01,2026-03-02,29.3,0.0,13.0
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1992-07-01,2026-03-02,16.8,0.0,14.3
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1992-08-01,2026-03-02,12.2,0.0,29.3
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1992-08-01,2026-03-02,19.3,0.0,16.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1992-09-01,2026-03-02,18.1,0.0,12.2
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1992-09-01,2026-03-02,17.6,0.0,19.3
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1992-10-01,2026-03-02,13.4,0.0,18.1
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1992-10-01,2026-03-02,17.6,0.0,17.6
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1992-11-01,2026-03-02,23.3,0.0,13.4
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1992-11-01,2026-03-02,18.5,0.0,17.6
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1992-12-01,2026-03-02,28.8,0.0,23.3
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1992-12-01,2026-03-02,21.8,0.0,18.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1993-01-01,2026-03-02,18.4,0.0,28.8
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1993-01-01,2026-03-02,26.9,0.0,21.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1993-02-01,2026-03-02,-15.4,0.0,18.4
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1993-02-01,2026-03-02,8.4,0.0,26.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1993-03-01,2026-03-02,17.2,0.0,-15.4
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1993-03-01,2026-03-02,27.7,0.0,8.4
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1993-04-01,2026-03-02,15.2,0.0,17.2
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1993-04-01,2026-03-02,21.8,0.0,27.7
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1993-05-01,2026-03-02,8.4,0.0,15.2
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1993-05-01,2026-03-02,21.0,0.0,21.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1993-06-01,2026-03-02,8.8,0.0,8.4
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1993-06-01,2026-03-02,22.7,0.0,21.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1993-07-01,2026-03-02,-9.2,0.0,8.8
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1993-07-01,2026-03-02,25.2,0.0,22.7
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1993-08-01,2026-03-02,6.5,0.0,-9.2
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1993-08-01,2026-03-02,21.0,0.0,25.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1993-09-01,2026-03-02,-0.2,0.0,6.5
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1993-09-01,2026-03-02,19.3,0.0,21.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1993-10-01,2026-03-02,25.0,0.0,-0.2
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1993-10-01,2026-03-02,16.0,0.0,19.3
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1993-11-01,2026-03-02,4.7,0.0,25.0
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1993-11-01,2026-03-02,13.4,0.0,16.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1993-12-01,2026-03-02,4.9,0.0,4.7
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1993-12-01,2026-03-02,16.0,0.0,13.4
